time,target_joint_0_pos,target_joint_0_vel,target_joint_0_acceleration,target_joint_1_pos,target_joint_1_vel,target_joint_1_acceleration,target_joint_2_pos,target_joint_2_vel,target_joint_2_acceleration,target_joint_3_pos,target_joint_3_vel,target_joint_3_acceleration,target_joint_4_pos,target_joint_4_vel,target_joint_4_acceleration,target_joint_5_pos,target_joint_5_vel,target_joint_5_acceleration,
1763636842.906635284,1.011407507,-0.164493407,-0.000000000,-1.772194369,0.197392088,0.000000000,1.995949897,-0.131594725,-0.000000000,-1.906429619,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636842.908841133,1.011376253,-0.164493407,-0.000000000,-1.772156864,0.197392088,0.000000000,1.995924894,-0.131594725,-0.000000000,-1.906448371,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636842.910929918,1.011344341,-0.164493407,-0.000000000,-1.772118570,0.197392088,0.000000000,1.995899364,-0.131594725,-0.000000000,-1.906467518,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636842.912903786,1.011311772,-0.164493407,-0.000000000,-1.772079487,0.197392088,0.000000000,1.995873309,-0.131594725,-0.000000000,-1.906487060,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636842.914906979,1.011278544,-0.164493407,-0.000000000,-1.772039613,0.197392088,0.000000000,1.995846726,-0.131594725,-0.000000000,-1.906506997,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636842.917090416,1.011244658,-0.164493407,-0.000000000,-1.771998951,0.197392088,0.000000000,1.995819618,-0.131594725,-0.000000000,-1.906527328,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636842.919007778,1.011210115,-0.164493407,-0.000000000,-1.771957498,0.197392088,0.000000000,1.995791983,-0.131594725,-0.000000000,-1.906548054,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636842.921080589,1.011174913,-0.164493407,-0.000000000,-1.771915256,0.197392088,0.000000000,1.995763822,-0.131594725,-0.000000000,-1.906569175,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636842.923116684,1.011139053,-0.164493407,-0.000000000,-1.771872225,0.197392088,0.000000000,1.995735134,-0.131594725,-0.000000000,-1.906590691,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636842.925107002,1.011102536,-0.164493407,-0.000000000,-1.771828404,0.197392088,0.000000000,1.995705920,-0.131594725,-0.000000000,-1.906612601,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636842.927172661,1.011065360,-0.164493407,-0.000000000,-1.771783793,0.197392088,0.000000000,1.995676180,-0.131594725,-0.000000000,-1.906634907,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636842.929215670,1.011027527,-0.164493407,-0.000000000,-1.771738393,0.197392088,0.000000000,1.995645913,-0.131594725,-0.000000000,-1.906657607,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636842.931271791,1.010989035,-0.164493407,-0.000000000,-1.771692203,0.197392088,0.000000000,1.995615120,-0.131594725,-0.000000000,-1.906680702,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636842.933331966,1.010949886,-0.164493407,-0.000000000,-1.771645224,0.197392088,0.000000000,1.995583800,-0.131594725,-0.000000000,-1.906704191,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636842.935773373,1.010910079,-0.164493407,-0.000000000,-1.771597455,0.197392088,0.000000000,1.995551954,-0.131594725,-0.000000000,-1.906728076,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636842.937669516,1.010869613,-0.164493407,-0.000000000,-1.771548897,0.197392088,0.000000000,1.995519582,-0.131594725,-0.000000000,-1.906752355,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636842.939748526,1.010828490,-0.164493407,-0.000000000,-1.771499549,0.197392088,0.000000000,1.995486683,-0.131594725,-0.000000000,-1.906777029,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636842.941811562,1.010786709,-0.164493407,-0.000000000,-1.771449411,0.197392088,0.000000000,1.995453258,-0.131594725,-0.000000000,-1.906802098,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636842.943906307,1.010744269,-0.164493407,-0.000000000,-1.771398484,0.197392088,0.000000000,1.995419307,-0.131594725,-0.000000000,-1.906827561,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636842.945947409,1.010701172,-0.164493407,-0.000000000,-1.771346767,0.197392088,0.000000000,1.995384829,-0.131594725,-0.000000000,-1.906853420,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636842.948268652,1.010657417,-0.164493407,-0.000000000,-1.771294261,0.197392088,0.000000000,1.995349825,-0.131594725,-0.000000000,-1.906879673,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636842.949893713,1.010613004,-0.164493407,-0.000000000,-1.771240965,0.197392088,0.000000000,1.995314294,-0.131594725,-0.000000000,-1.906906321,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636842.952229023,1.010567932,-0.164493407,-0.000000000,-1.771186879,0.197392088,0.000000000,1.995278237,-0.131594725,-0.000000000,-1.906933363,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636842.954012632,1.010522203,-0.164493407,-0.000000000,-1.771132004,0.197392088,0.000000000,1.995241654,-0.131594725,-0.000000000,-1.906960801,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636842.956261873,1.010475816,-0.164493407,-0.000000000,-1.771076340,0.197392088,0.000000000,1.995204544,-0.131594725,-0.000000000,-1.906988633,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636842.958123922,1.010428771,-0.164493407,-0.000000000,-1.771019886,0.197392088,0.000000000,1.995166908,-0.131594725,-0.000000000,-1.907016860,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
