time,h_min,d_min,trajectory_error,pos_ee_x,pos_ee_y,pos_ee_z,vel_ee_x,vel_ee_y,vel_ee_z,v_rel_min,scaling
1763636823.861982346,0.559443066,0.809830883,0.018923690,-0.039525939,-0.114094101,1.361460593,0.045231694,-0.013997180,-0.030715597,-0.340801021,0.999970366,
1763636823.864181995,0.561333301,0.811333301,0.018933698,-0.039434835,-0.114122309,1.361398733,0.045873031,-0.014210991,-0.031144481,-0.347933460,0.999970020,
1763636823.866208792,0.562846842,0.812846842,0.018943690,-0.039342449,-0.114150946,1.361336015,0.046512847,-0.014425446,-0.031573497,-0.355069593,0.999969668,
1763636823.868277788,0.564369379,0.814369379,0.018953671,-0.039248784,-0.114180012,1.361272439,0.047151565,-0.014640535,-0.032002471,-0.362201395,0.999969310,
1763636823.870323420,0.565901587,0.815901587,0.018963647,-0.039153843,-0.114209508,1.361208005,0.047789525,-0.014856251,-0.032431265,-0.369332082,0.999968949,
1763636823.872369051,0.567446469,0.817446469,0.018973623,-0.039057627,-0.114239437,1.361142714,0.048426998,-0.015072591,-0.032859765,-0.376473854,0.999968584,
1763636823.874490738,0.568992215,0.818992215,0.018983602,-0.038960136,-0.114269799,1.361076566,0.049064202,-0.015289554,-0.033287878,-0.383580940,0.999968217,
1763636823.876491308,0.570558051,0.820558051,0.018993586,-0.038861370,-0.114300596,1.361009562,0.049701311,-0.015507142,-0.033715529,-0.390728687,0.999967847,
1763636823.879144430,0.572133534,0.822133534,0.019003578,-0.038761331,-0.114331828,1.360941704,0.050338465,-0.015725356,-0.034142656,-0.397876543,0.999967477,
1763636823.881746769,0.570571203,0.823780974,0.019013579,-0.038660017,-0.114363498,1.360872992,0.050975780,-0.015944200,-0.034569207,-0.405262269,0.999967104,
1763636823.883128643,0.564980104,0.825525826,0.019023590,-0.038557428,-0.114395605,1.360803427,0.051613346,-0.016163679,-0.034995139,-0.412977594,0.999966731,
1763636823.886264563,0.559814956,0.827131607,0.019033614,-0.038453563,-0.114428153,1.360733012,0.052251239,-0.016383798,-0.035420416,-0.420127523,0.999966358,
1763636823.888320684,0.553762584,0.829068958,0.019043649,-0.038348422,-0.114461141,1.360661746,0.052889518,-0.016604564,-0.035845007,-0.428480077,0.999965983,
1763636823.890481949,0.548503514,0.830733575,0.019053699,-0.038242005,-0.114494571,1.360589632,0.053528234,-0.016825982,-0.036268885,-0.435771819,0.999965609,
1763636823.892379999,0.544100786,0.832231615,0.019063761,-0.038134309,-0.114528445,1.360516671,0.054167428,-0.017048059,-0.036692026,-0.442076353,0.999965234,
1763636823.894573927,0.540984615,0.833499083,0.019073838,-0.038025335,-0.114562764,1.360442865,0.054807133,-0.017270802,-0.037114411,-0.446927023,0.999964859,
1763636823.896762848,0.537744643,0.834840810,0.019083930,-0.037915080,-0.114597529,1.360368214,0.055447378,-0.017494220,-0.037536020,-0.451975811,0.999964484,
1763636823.898992300,0.534637158,0.836127283,0.019094036,-0.037803545,-0.114632742,1.360292721,0.056088188,-0.017718319,-0.037956838,-0.456835043,0.999964109,
1763636823.900598288,0.531431724,0.837475961,0.019104156,-0.037690727,-0.114668403,1.360216387,0.056729582,-0.017943107,-0.038376848,-0.461854185,0.999963734,
1763636823.902865171,0.528347033,0.838774070,0.019114292,-0.037576626,-0.114704514,1.360139214,0.057371577,-0.018168593,-0.038796037,-0.466700692,0.999963359,
1763636823.904790640,0.523728908,0.840077903,0.019124443,-0.037461241,-0.114741078,1.360061204,0.058014190,-0.018394783,-0.039214392,-0.471541441,0.999962985,
1763636823.906934977,0.517319186,0.841410207,0.019134609,-0.037344569,-0.114778094,1.359982357,0.058657434,-0.018621687,-0.039631899,-0.476442146,0.999962610,
1763636823.909078121,0.511008000,0.842727293,0.019144790,-0.037226610,-0.114815565,1.359902677,0.059301321,-0.018849312,-0.040048547,-0.481276679,0.999962236,
1763636823.911098480,0.504629347,0.844069622,0.019154987,-0.037107363,-0.114853492,1.359822164,0.059945860,-0.019077668,-0.040464324,-0.486161418,0.999961862,
1763636823.913284063,0.498235761,0.845424504,0.019165199,-0.036986827,-0.114891876,1.359740820,0.060591064,-0.019306761,-0.040879219,-0.491059612,0.999961489,
1763636823.914755821,0.491942506,0.846763173,0.019175425,-0.036864999,-0.114930719,1.359658647,0.061236939,-0.019536600,-0.041293220,-0.495890401,0.999961115,
1763636823.917052269,0.485649312,0.848110390,0.019183910,-0.036741878,-0.114970023,1.359575648,0.061883496,-0.019767195,-0.041706317,-0.500724186,0.999971488,
1763636823.919090748,0.479403934,0.849466641,0.019189186,-0.036617590,-0.115009747,1.359491911,0.062405258,-0.019956966,-0.042029842,-0.505436148,0.999979857,
1763636823.920996189,0.473223794,0.850825395,0.019191898,-0.036492358,-0.115049818,1.359407600,0.062826324,-0.020113773,-0.042281170,-0.510031282,0.999986528,
1763636823.922922611,0.467091484,0.852189208,0.019192565,-0.036366365,-0.115090176,1.359322844,0.063167072,-0.020244270,-0.042474969,-0.517145179,0.999991846,
1763636823.924953699,0.461717279,0.853388199,0.019191601,-0.036239754,-0.115130774,1.359237746,0.063443753,-0.020353770,-0.042622927,-0.524625561,0.999996085,
1763636823.926995277,0.457805527,0.854254052,0.019189334,-0.036112641,-0.115171574,1.359152389,0.063669331,-0.020446511,-0.042734355,-0.530459151,0.999999463,
1763636823.929229259,0.453919083,0.855127594,0.019186031,-0.035985118,-0.115212546,1.359066838,0.063854144,-0.020525877,-0.042816676,-0.536253548,1.000000000,
1763636823.932123184,0.450062572,0.856006786,0.019181900,-0.035857257,-0.115253667,1.358981145,0.064006411,-0.020594560,-0.042875782,-0.542005471,1.000000000,
1763636823.933946609,0.446221672,0.856895030,0.019177109,-0.035729118,-0.115294916,1.358895353,0.064132715,-0.020654718,-0.042916390,-0.547739491,1.000000000,
1763636823.935608387,0.442424834,0.857783753,0.019171792,-0.035600747,-0.115336279,1.358809494,0.064238312,-0.020708075,-0.042942259,-0.553414863,1.000000000,
1763636823.937538147,0.438578583,0.858699396,0.019166058,-0.035472181,-0.115377743,1.358723596,0.064327393,-0.020756008,-0.042956387,-0.559175586,1.000000000,
1763636823.940114975,0.434839292,0.859596563,0.019159990,-0.035343451,-0.115419298,1.358637678,0.064403299,-0.020799613,-0.042961159,-0.564785182,1.000000000,
1763636823.942015171,0.431110275,0.860502758,0.019153657,-0.035214579,-0.115460938,1.358551758,0.064468696,-0.020839769,-0.042958476,-0.570391861,1.000000000,
1763636823.944194555,0.427388842,0.861418656,0.019147114,-0.035085584,-0.115502655,1.358465850,0.064525708,-0.020877175,-0.042949853,-0.576000858,1.000000000,
1763636823.946296930,0.423680723,0.862342462,0.019140404,-0.034956482,-0.115544444,1.358379964,0.064576031,-0.020912388,-0.042936495,-0.581604287,1.000000000,
1763636823.948400021,0.419973275,0.863277939,0.019133561,-0.034827285,-0.115586302,1.358294108,0.064621014,-0.020945854,-0.042919364,-0.587222419,1.000000000,
1763636823.950655699,0.416130682,0.864266996,0.019126613,-0.034698003,-0.115628226,1.358208289,0.064661737,-0.020977929,-0.042899223,-0.593066934,1.000000000,
1763636823.952674389,0.412364010,0.865245322,0.019119581,-0.034568642,-0.115670213,1.358122513,0.064699057,-0.021008896,-0.042876684,-0.598811778,1.000000000,
1763636823.954783916,0.408705552,0.866202105,0.019112484,-0.034439209,-0.115712261,1.358036784,0.064733660,-0.021038983,-0.042852231,-0.604405912,1.000000000,
1763636823.956734180,0.405114171,0.867149481,0.019105334,-0.034309709,-0.115754368,1.357951106,0.064766092,-0.021068369,-0.042826251,-0.609912743,1.000000000,
1763636823.958603859,0.402897008,0.867919454,0.019098144,-0.034180146,-0.115796534,1.357865481,0.064796788,-0.021097199,-0.042799052,-0.614077071,1.000000000,
1763636823.960916042,0.402563297,0.868486380,0.019090922,-0.034050524,-0.115838757,1.357779911,0.064826097,-0.021125588,-0.042770880,-0.616534942,1.000000000,
1763636823.962780237,0.402272280,0.868997915,0.019083675,-0.033920843,-0.115881036,1.357694398,0.064854296,-0.021153628,-0.042741930,-0.618775664,1.000000000,
1763636823.964828491,0.402004943,0.869513968,0.019076409,-0.033791107,-0.115923371,1.357608944,0.064881604,-0.021181393,-0.042712357,-0.621000148,1.000000000,
1763636823.966876745,0.401761181,0.870034603,0.019069129,-0.033661317,-0.115965761,1.357523549,0.064908198,-0.021208940,-0.042682287,-0.623208829,1.000000000,
1763636823.969071388,0.401540904,0.870559965,0.019061837,-0.033531475,-0.116008206,1.357438215,0.064934219,-0.021236317,-0.042651816,-0.625402344,1.000000000,
1763636823.970869780,0.401344113,0.871089573,0.019054536,-0.033401581,-0.116050706,1.357352942,0.064959779,-0.021263560,-0.042621025,-0.627579345,1.000000000,
1763636823.972869635,0.401170721,0.871623486,0.019047230,-0.033271636,-0.116093261,1.357267731,0.064984966,-0.021290700,-0.042589975,-0.629740191,1.000000000,
