number,values_0,values_1,params_lambda1,params_lambda2,params_lambda3,state
127,0.3303779748016799,0.01954094441902816,921.6324218112452,0.48953793570171933,2.587348911702282,COMPLETE
128,0.3243117125524965,0.021151327525925065,100.10459551305067,1.0459589352239622,0.0002550065817879624,COMPLETE
129,0.37004199720018666,0.018548293082135174,326.4035371084049,277.09584108930943,0.00793824619960541,COMPLETE
130,0.3629758016132258,0.02135683735797237,4090.4250562243838,1.3973170725818818,0.002321377368166416,COMPLETE
131,0.35024331711219253,0.03118865224639937,0.011406082728766365,0.007007230051804788,0.002338455076980443,COMPLETE
132,0.3416438904073062,0.020560189332954303,0.051649282078407396,226.19690988518522,0.20105092646021125,COMPLETE
133,0.352976468235451,0.09158563742886439,2122.125829651635,0.002848117294377246,0.00011830266574222965,COMPLETE
134,0.33264449036730886,0.04579784747135028,1721.6508317919295,0.011818266667056865,0.05974460245993746,COMPLETE
135,0.3506432904473035,0.024228631426989493,0.1356106356117382,0.0789044578682962,0.2438259329216774,COMPLETE
136,0.3671755216318912,0.09476418486247778,2740.7340047017933,0.0028366034911346746,0.002776761836693331,COMPLETE
137,0.3416438904073062,0.017572264264253977,0.18937498797376098,0.8616627274834103,0.2039819663925662,COMPLETE
138,0.325844943670422,0.019336354782910722,0.29666630004709366,0.002848117294377246,0.00011830266574222965,COMPLETE
139,0.35930937937470836,0.05096259468866281,417.9115989289213,0.0022794295629377953,6.299788629472022,COMPLETE
140,0.325178321445237,0.02299774184467295,4090.4250562243838,1.3973170725818818,0.06564787764700643,COMPLETE
141,0.35337644157056197,0.02309788115113207,0.013152142864570058,3.484347096838387,0.21121672754190535,COMPLETE
142,0.3365108992733818,0.025927888371203738,0.9173304042351013,0.05582038534765545,1.1530660614103958,COMPLETE
143,0.3252449836677555,0.015808078214701402,265.12151038057925,8.05250606137426,0.5791705144598926,COMPLETE
144,0.352976468235451,0.0207189771928401,9.929705923688608,226.19690988518522,0.00020510138688257878,COMPLETE
