number,values_0,values_1,params_lambda1,params_lambda3,state
137,0.0,0.07385000472773426,3.816514400733927,0.06170046976955652,COMPLETE
138,0.0,0.0717088481690174,191.38229069060432,0.00039191815750602867,COMPLETE
139,0.0,0.07212204023691883,3415.368978530252,0.06170046976955652,COMPLETE
140,0.0,0.07096609902467721,1.4430852417217535,57.78639659898936,COMPLETE
141,0.0,0.07267873459581849,3.497043803522203,0.00025584518116151004,COMPLETE
142,0.0,0.08191372340356397,3091.730276495974,39.24491990813462,COMPLETE
143,0.0,0.06657740601822601,3622.9035998659797,0.4856549510739139,COMPLETE
144,0.0,0.06744915159954484,0.02160379643627471,0.0017133284014402878,COMPLETE
145,0.0,0.07307199512357547,1.7826885515225759,0.00011461296330832796,COMPLETE
146,0.0,0.07856899673665309,120.62601944665978,0.5281191555208476,COMPLETE
147,0.0,0.0763848465499035,83.79414807568077,0.002291512878983546,COMPLETE
148,0.0,0.07548645240031499,0.6225187772567919,0.004046246254916541,COMPLETE
149,0.0,0.0757895715713625,157.41704231410233,2.3071607818234807,COMPLETE
150,0.0,0.07873794409481875,643.0157935796261,2.8568377367341515,COMPLETE
151,0.0,0.07422881921058311,2790.301905459558,1.1773703066408963,COMPLETE
152,0.0,0.07442204929786622,11.023706518726923,0.004046246254916541,COMPLETE
153,0.0,0.07529468871910829,3.816514400733927,44.69893861929692,COMPLETE
154,0.0,0.07558213279287002,2.931215863742789,14.270659259215694,COMPLETE
155,0.0,0.07129590638355376,0.018901911159798987,0.00042671146486399135,COMPLETE
156,0.0,0.07152915254946883,31.906887723691582,0.01777240962029233,COMPLETE
157,0.0,0.07272508994883663,263.5314377954919,0.000376632896212367,COMPLETE
158,0.0,0.07396696872085753,0.036628627137717765,0.00264245780516643,COMPLETE
159,0.0,0.07515668935547631,809.1791309266355,0.007769180876846531,COMPLETE
160,0.0,0.07471055875129903,10.307263069209377,0.11087240093548927,COMPLETE
161,0.0,0.07593549795236382,0.01325798009961497,0.006784979073978235,COMPLETE
162,0.0,0.07391107453127757,17.588405547176173,1.421685016135106,COMPLETE
163,0.0,0.07362422327461045,4.616144317872392,0.04991032970255093,COMPLETE
164,0.0,0.07023935661808108,3.3763508319201603,0.0007127702803752188,COMPLETE
165,0.0,0.07223782589418255,4002.919904020804,0.022312940456469376,COMPLETE
166,0.0,0.07157113543184912,12.857302730834768,0.10279407462922609,COMPLETE
167,0.0,0.08370370823637963,35.04670414572725,0.0016489162923333195,COMPLETE
168,0.0,0.08078570879590542,6069.558954662461,0.3813400368757065,COMPLETE
169,0.0,0.07350116259533375,0.24084783188691805,39.24491990813462,COMPLETE
170,0.0,0.07668467425091462,5153.280118279156,0.005013379492933892,COMPLETE
171,0.0,0.05980243408723054,809.1791309266355,0.00012424047676960176,COMPLETE
172,0.0,0.07665950357374574,0.018901911159798987,16.41219491294407,COMPLETE
173,0.0,0.07399347349190351,83.79414807568077,0.002291512878983546,COMPLETE
174,0.0,0.07385290150670838,5.410963465355921,94.7155176854975,COMPLETE
175,0.0,0.07064779760150265,31.13133382358513,0.00042671146486399135,COMPLETE
176,0.0,0.07080371283483425,0.16323443879244282,13.97999915443519,COMPLETE
177,0.0,0.07766647716314344,1.2672142964804183,0.1081928938117169,COMPLETE
178,0.0,0.07529911086592898,11.014699668259208,0.2669565145838075,COMPLETE
179,0.0,0.06823687501491442,7.672723029097915,1.5293487132310737,COMPLETE
180,0.0,0.07084273079953599,11.485755849155169,34.4765919060341,COMPLETE
181,0.0,0.07423915762109602,227.23668187840548,0.0023381683427601565,COMPLETE
182,0.0,0.06896860093952513,13.863457819685104,0.007987577931521262,COMPLETE
183,0.0,0.0659860270767421,0.10175037292754036,0.28125502103907013,COMPLETE
184,0.0,0.08189740992611894,83.79414807568077,0.002291512878983546,COMPLETE
185,0.0,0.07287498910779473,35.04670414572725,0.02346833986257525,COMPLETE
186,0.0,0.07764003722024866,319.9700422626513,0.14525096691482658,COMPLETE
187,0.0,0.06417675610860617,0.06666467141572965,0.00042671146486399135,COMPLETE
188,0.0,0.07759740732864573,1.4434531828568546,0.6281973192600224,COMPLETE
189,0.0,0.07654646405344534,49.76220198678533,0.06170046976955652,COMPLETE
190,0.0,0.06908700288166991,1184.7226428695446,0.00042671146486399135,COMPLETE
191,0.0,0.07317312232782211,0.14175848225886795,0.003982194989942686,COMPLETE
192,0.0,0.06504181724099176,167.24127039872647,0.00042671146486399135,COMPLETE
193,0.0,0.07296647708581856,1782.7219134515829,0.002291512878983546,COMPLETE
194,0.0,0.07027256995463584,0.033108061315623466,2.3071607818234807,COMPLETE
195,0.0,0.07180999649245196,37.26900330367858,0.00042671146486399135,COMPLETE
196,0.0,0.07136034553929792,0.612325976947006,0.002291512878983546,COMPLETE
197,0.0,0.07729100357796861,0.18337877723880724,0.03315620029144965,COMPLETE
