number,values_0,values_1,params_delta_deg,params_gamma,params_lambda1,params_lambda3,state
82,0.1307,0.6182606323040875,2.862368560211606,8.2636025320606,869.7530465257089,0.03168328309134959,COMPLETE
83,0.08205,0.26402938516726954,6.232071729712408,1.7594833912179524,0.01151965102399535,0.28220434963382407,COMPLETE
84,0.1265,0.4849669380108623,1.8078622084056417,7.562253423893055,1.7115405193262219,0.0699472168919477,COMPLETE
85,0.097,0.5456575680172062,6.719955172972431,2.87329184153772,1.868113721224129,0.01586248843698154,COMPLETE
86,0.0976,0.4546013638533039,5.549003007609404,7.415123752999991,0.11276654956375644,16.04679978641563,COMPLETE
87,0.09535,0.3444648326290542,0.27474337497730683,4.0031073349616735,2.190885366169707,0.0396979976488373,COMPLETE
88,0.0914,0.4737991074935563,7.398979747077997,2.99838938907905,61.128832411058866,32.402251569270184,COMPLETE
89,0.0827,0.1963362227536886,7.339695485358947,1.0567072421993136,62.697590963815536,11.34645454198699,COMPLETE
90,0.10155,0.3389299936472354,0.7788792884417953,3.2232822869572217,261.950309024431,1.6840995912863275,COMPLETE
91,0.0621,0.17841026015109407,6.8435536313626235,1.1679739768270172,2.4792588435669867,44.76380938653201,COMPLETE
92,0.11155,0.31396343074615407,0.16199044260022796,3.9833224549082002,6649.291504263214,47.09847155254907,COMPLETE
93,0.09335,0.595523461316885,7.489439152524652,4.390239464358789,20.742218430268597,0.5084006019933035,COMPLETE
94,0.07885,0.35696137827418684,2.1400458194082677,1.4973801307178418,632.6228905046459,13.809916121420061,COMPLETE
95,0.1115,0.26222128533997374,1.2540211794852885,2.2846133731118696,0.6825938962817633,0.05552406034279757,COMPLETE
96,0.0838,0.3604724147567682,6.139130625639881,3.315945713584284,0.04073331394919802,72.57830932179442,COMPLETE
97,0.105,0.5475485786356316,4.488730394906111,7.112160223532937,80.21514844734943,10.517700528165557,COMPLETE
98,0.0754,0.15352073941959762,2.2144397973341685,1.4066872624786666,1.2869559035083624,11.046175708135658,COMPLETE
99,0.0766,0.36040392685475114,4.400305109968493,1.367793264680829,598.6615620059632,5.252393949938683,COMPLETE
100,0.0853,0.32863324756609524,4.81356933150241,3.5218506768049913,1.2724168882774245,4.370048393475307,COMPLETE
101,0.1137,0.49608500025246033,5.825650639791702,1.1783230776144702,6216.532122447228,0.09083195419680534,COMPLETE
102,0.08735,0.47346292309361887,5.121566894654992,2.517041383920063,0.03898979318556761,0.01189494371002977,COMPLETE
103,0.1012,0.6918697568766445,7.478544785118224,8.99541846861229,1.6230104062355606,0.6637361019931125,COMPLETE
104,0.11225,0.6464723848562359,5.069360439513679,7.996646201616493,0.8133726327106653,0.05493148423960867,COMPLETE
105,0.07575,0.17559181578175814,7.226248871678973,1.1429205684851076,22.63114544938977,44.45397915225416,COMPLETE
106,0.08055,0.37474833842935096,5.682937906848967,2.448591096137091,2.7826496594297607,0.3677779320047744,COMPLETE
107,0.1208,0.36623995819105054,0.5815685402840504,5.29632452620883,13.676048235887794,0.172372078140636,COMPLETE
108,0.11515,0.6249444917357726,2.5455370720532993,4.034456052561329,713.1063909371504,0.3989335132691185,COMPLETE
109,0.07215,0.2451985422132847,7.057116083691382,1.5734301201407261,0.406081320385467,8.85537453070778,COMPLETE
110,0.12555,0.5703709995195738,2.6080427952529712,6.110305418059103,175.5796004515449,0.5684517876204833,COMPLETE
111,0.0879,0.3862700987941694,2.603397922590822,1.3431835823849814,2592.363426468808,0.01526540354772985,COMPLETE
112,0.12525,0.6478180993269207,4.461799413676051,2.4852484343229997,4281.48380650221,0.16643189193085461,COMPLETE
113,0.11515,0.21679949051563735,0.6483648014662399,3.493980441837814,1.167794128309604,73.35801813284685,COMPLETE
114,0.09525,0.46961711445406706,5.61336619720419,3.3672993873569954,53.80807130592566,3.714311920530108,COMPLETE
115,0.08125,0.13636409661503232,2.4801409727404335,1.2075045091122973,0.018006736166440745,0.14026826681928783,COMPLETE
116,0.1137,0.42116008026050905,1.3085334653377576,3.1792005017034803,8.32767718603735,0.018387305553749598,COMPLETE
117,0.14585,0.7457689614622428,4.959420262850996,4.129126007747511,9056.982120671171,0.15154549321280533,COMPLETE
118,0.10645,0.5847403854328368,4.142860594524235,6.9600376410120175,0.025437850025857786,0.06629888756173917,COMPLETE
119,0.10695,0.2517916098221642,1.720375175153852,3.7809163252141516,10.84704739460409,66.16433771373806,COMPLETE
120,0.0924,0.49960276069538395,7.000389669702646,2.8040993829426037,0.02245057692655168,0.05553350607071608,COMPLETE
121,0.1085,0.2599114131791032,0.7826719477793815,6.214059828790281,0.3765370988033568,1.587771548278975,COMPLETE
122,0.0951,0.1882242829399972,4.959831967637865,1.1488534571740787,75.58313637126474,39.559756379822154,COMPLETE
123,0.13015,0.6434358368804646,2.8511900667173076,4.575942486031681,1172.4479833059252,43.8681957879473,COMPLETE
124,0.12575,0.841000416646874,6.497462010340833,7.14727279136695,294.9465289327683,0.5391201405634892,COMPLETE
125,0.06635,0.17609043261723523,0.1423927633030198,1.6650857723263992,0.7338969708663581,34.08526154859988,COMPLETE
126,0.11245,0.5124796059290361,1.0514757878581262,4.156372405714614,4239.505918668621,27.553526964384037,COMPLETE
127,0.1092,0.23459535591753475,1.7612319144733133,3.5490559547312324,12.933192496010717,14.829989494131054,COMPLETE
128,0.0931,0.425335739978101,2.5879492292723714,6.055188167526536,4.3555341208158325,0.4064274954090309,COMPLETE
129,0.1064,0.3081026136196693,0.8666343963587093,6.162808528428928,0.014111349866670451,5.713218197870926,COMPLETE
130,0.09405,0.34957156805089523,3.820888518758071,1.5849568435590429,249.68474916722874,2.5049789049513156,COMPLETE
131,0.08895,0.2998403942426602,0.864756215594347,3.8389469405162617,1.3866174012804962,60.464932430704,COMPLETE
132,0.11025,0.3319425196246218,1.536630503893159,6.37427371605731,0.037933994749054074,7.508594347363379,COMPLETE
133,0.1183,0.6878688650754068,7.480665459684607,9.123500396940623,10.254284805782731,0.14875767420250272,COMPLETE
134,0.095,0.5506342471687894,5.9138883699491,3.721405127888629,0.28986373877386085,0.021283635102035826,COMPLETE
135,0.07,0.20645482154002384,5.823216238644069,1.2547221676329845,32.319980735467645,0.4652068490652935,COMPLETE
136,0.09315,0.42522983221098065,2.826459675545529,7.328216548609326,0.34638464160674765,20.547910156338585,COMPLETE
137,0.0789,0.22747323214929546,4.520245829728443,1.157424804907036,0.04219682114742547,0.014056698053558789,COMPLETE
138,0.10695,0.5236084814024397,4.51613330732032,2.423765655276442,937.8481247539468,4.570992729096211,COMPLETE
