number,values_0,values_1,params_delta_deg,params_gamma,params_lambda1,params_lambda2,params_lambda3,params_lambda4,state
86,0.0822,0.6519896415736574,2.9625252062896905,7.089131202151849,0.019607071158490193,0.08461218904615202,0.012982440548270658,1.9043961097477443e-12,COMPLETE
87,0.0656,0.45547877972124395,4.335111916469993,3.1788912454430323,2.824815337292512,0.026029536794764555,16.269208720623464,1.6894010759859846e-13,COMPLETE
88,0.09115,0.4239414462378987,2.9625252062896905,1.0726049388472807,5457.162941500747,0.12334057452230227,15.678149406276319,7.328180654629187e-13,COMPLETE
89,0.04365,0.17452372632203458,3.0455122299916,1.0726049388472807,0.07261268023359602,0.021875706805845035,5.192615578479196,7.328180654629187e-13,COMPLETE
90,0.06065,0.3969783095401827,3.685860265729417,1.466936536214113,0.8252494595473547,5.871965962372736,0.03019843517815248,4.992838720342651e-13,COMPLETE
91,0.0555,0.3459618630733166,5.308576019746599,2.248576862692557,18.131739826917116,18.78996109757449,41.972091817911355,1.621364679176634e-08,COMPLETE
92,0.08875,0.4741745425230957,0.3755559762776226,9.321985708640046,0.15199010935250473,0.020030895601175654,1.4287370935414545,2.4587778031103135e-13,COMPLETE
93,0.07175,0.27885130735716723,0.17268918965161995,2.4653829205652547,0.04711742061471544,0.1974548021813248,0.2132678640353649,1.2586782391077344e-08,COMPLETE
94,0.06865,0.30061904472192813,4.3548083271808515,2.0117238004086353,1.0946066447217027,0.12480776742786713,34.574222073764446,3.387170901281899e-08,COMPLETE
95,0.09905,0.5905097230518871,3.7523591558107,9.47835620413639,5.079487279112919,0.021875706805845035,94.45626116932038,2.3002810148120466e-10,COMPLETE
96,0.08205,0.6082428141059487,2.7981132955920227,6.875144787901625,29.972009288600017,0.48931201159270643,0.01777158201797886,3.787929895519139e-07,COMPLETE
97,0.0856,0.3078656653704929,0.7680239820541722,1.5675940034569393,0.015151099660768339,806.53165357863,27.61314104606813,8.003609205668878e-09,COMPLETE
98,0.0974,0.5584408492509653,1.9982934096746654,8.359124144204223,199.3421825312387,51.0531204742495,0.0865894314002392,1.4322944010821963e-08,COMPLETE
